必殺No,必殺技名,色,意味,動き方,基本姿勢,才能,特性,アドバイス,ON,OFF
1,天才クリエイター,赤,無形から有形を創り出せる,お願いされてからやる！,俺らしくいることが世界を救う,誰も思いつかなかった方法で、新しいモノやシステムを作り出し、多くの人の見本となる結果を残す。,"1番のタレントと 8番の演出家がくっついて、船に乗せて大海へ送り出す能力。秋元康さんがAKBを世に出したような、そんな力。今まで考えつかなかったようなやり方で、具体的に見える形で成功例を見せてくれる。要は、なにもなかったところに有形のものを作り出す才能。
人と一緒のことをするのは嫌いで、前に出ることも興味がないけど、腹くくって表舞台に出れば、人々からリスペクトされるリーダーになる。
時代の最先端で文化を創る人。",ちょっと嫌かもしれないけど、表舞台で目立つ役割をする勇気を持ったほうがいい。その勇気さえあれば、余計な努力なしでも、流れにのって気持ちよく生きてるだけで、勝手に素晴らしいリーダーになる。,地球ではこうやって物事は生み出されるんだぞ〜という見本を見せて生きている,自分の才能に気づかず何も創り出さないで引きこもっている状態
2,錬金術師,赤,全く新しいものを生み出す力で新しい時代のカギを持つ,前のめりになったらやる！,俺らしくいることが世界を救う,いまこの地球にはない、全く新しいものを生み出す力。好きなことをしているだけで勝手にお金がたまってくる。,今ある素材を混ぜ合わせて、ダイヤモンドより価値のある素材を作り出す、みたいなスゴイ技を持っていて、自分だけじゃなく周りの人にもそれぞれの道を与えていく役割。身体の反応に従っている限り、自分のすべきことや行くべき道を間違うことがない。そばにいる人みんなが、この人がそばに居るだけで生きる方向を思い出し、がらっと人生を変えてしまうほど影響を与える。人が何かを実現するためにアドバイスする能力も抜群で、みんなの成功のカギをもっている人。新しい楽しいことで、人と一緒にお金を稼ぐ能力でもある。,身体が勝手に動いて行動しているうちに、人生の方向がどんどん見えてくるような経験をしていく。お金のために動かないで、好きなことを夢中でやっているとすごく儲かる。,今まで見たことがない新しいものを生み出し、人に影響を与えながら輝いている。,身体の声に従わず、頭ばかり使って打算的に行動していると失敗する。
3,陰極まって陽になる,赤,Mr生みの苦しみ！,前のめりになったらやる！,俺らしくいることが世界を救う,悩んで悩んで悩みまくって今まで地球上になかった新しいことを生み出す力。神様の新しい実験体。動いたときは未知の国から新しいものを生み出している。,この人が居ると、いつもおかしなことが起こるので、本人も意味が分からず悩んで鬱の状態になる人が多い。無意識に「誰も私を見ないで～」という引きこもり状態と、「私がやります」という積極性を、予告なく繰り返す。自覚が全くないのに、この人のいるところではいつも新しい問題が起こり、一見トラブルメーカーと思われがちだけど、「こいつ何か持ってるな」と、人と違うものを感じさせる人。人々に、いつもと違った知らない世界を見るきっかけを作る重要な役割。神の使いになったつもりで頑張れ！,常に感情のオンオフを繰り返して不安定なエネルギーだけど、落ち込むくらいは手ぬるい！自らハシゴをはずし地の底まで落ち切れば、突然変異がおきて、新しい解決方法で周りもまとめて救い出す。,目の前に起きたことで大いに悩んでいる状態が正解。,悩みをなかったことにして封印して自分をだましている状態。
4,未来思考派,青,考え抜いて公的な答えを出す,お願いされてからやる！,社会にシェアすることで世界を救う,疑うことが才能。頭の中で繰り返される論理思考のプロセスで、ほかの誰かが間違わないように守る力。,"自分で問題を出して自分で解決しようとする「哲学的」な人。とにかくいつもあーでもない、こーでもないと考えてる。せっかく自分で出した答えさえも、また疑って検証を繰り返す感じ。
誰かほかの人から相談された時に、はじめて答えがわかる。終わらない思考に苦しむかもしれないけれど、キミから出た答えは皆の公式として使える素晴らしい知恵になる。",ぐるぐる頭の中で考えたことを、誰かほかの人のために使うこと。自分から動かなくても、キミのインスピレーションが必要な人は、向こうからやってくる！,とにかく、考えに考え抜いている状態が気持ちいいので、考えすぎでオッケー。,考えるだけが役割なのに、自分で行動することが大事だと勘違いして、うま＜行動しようと焦っている状態。
5,台風の目,青,人をぐいぐい惹きつける営業マン,前のめりになったらやる！,社会にシェアすることで世界を救う,これを持っている人は台風の目のように自分は静かだけど周りを振り回す。営業させたら結果を出す人。,面白いことにこの必殺技は、動かないというアイテムと、ずっと形を変え続けるというアイテムのつながり。例えるなら、水の中に入れた低周波治療器。低周波治療器を水の中に入れたら、本体は動かさなくても、周りにはポンボン波が立つような感じ。バタバタ動いているわけではないのに、しっかり人を引き付けて結果を出すので、営業がむちゃくちゃ上手。タイミングの天才で、自分の勝ち勝負まで動かない。独特のリズムなのでほかの人に合わせることは無理なのに、大抵「私のほうがいつも他人に合わせてあげている」と言う。,身体が勝手に動き出しているはずだけど、自分ではわからないことが多い。コトの流れに身を王せることで自然にうまくいくよ。,自分の好きなタイミングで自由に動いて、一緒にいられる人とだけいる。,人に合わせてあげていると言いふらし、やたらめったら動く割に結果が出ず、周りをただ振り回している。
6,エロ,黄緑,お金でも物でも子供でもなんでも増やす,前のめりになったらやる！,仲間を守る本能が世界を救う,不思議な魅力を毛穴から出して、とにかく何でもかんでも誘惑して、地球上の物質を増やすエネルギー。誰にでも何にでもめっちゃモテる。,"この必殺技を持つ人の特徴として、さほど美しい人でもないのに、不思議とめっちゃモテる。
とにかく何でもかんでも誘い込んで増やすエネルギーだから、この人が動くと、子供でも不動産でもモノでも植物でも動物でも、とにかく増えていく。一番ダイレクトな結果が生命の創造（子づくり）、抽象度が高いとクリエイティブなモノ作りにも。「いかにDNAを増やすか」というミッションしか見えないためか、他人の気持ちはお構いなしに行動して、KYとみられることも多いから注意。","人の心に深く入り込んで、誰とでもスキンシップで仲良くなろうとするので、思わせぶりに誘っていると誤解されないように注意。
大丈夫！絶対に一人になることはない。嫌いも好きも同じ刺数。キミの周りは人でいっぱい。
子どもや弟子をつくりまくれ！",どんなにかたくなな心でも愛の力で溶かし、相手に愛されている状態,好きでもない人と肉体関係を持つなど、わかりもしない人の気持ちを察しようとして動けなくなっている。
7,ジャンヌダルク,青,民衆の中から選ばれて時代を背負うリーダー,お願いされてからやる！,社会にシェアすることで世界を救う,人々の期待を集め、自分でも驚くほどのすごい立場に押し上げられたあと、この世界での自分の使命に気づいて、時代の最先端を走る人。,多くの人からいつの間にか選ばれ、時代の流れのエネルギーに乗って、新しい時代への最先端を走るリーダー。民衆のいくべき道を「こっちだ！」と指し示し、皆を導く最高のリーダーとなる運命を持っている。これは宿命なので、避けることはできない。自分の活躍する世界だけの指導者ではなく、一芸に秀でたマイスターとして社会全体を導く人も多い。この必殺技を持っている人は、このために生き、このために死ぬといっても過言ではない。人々から求められたとき、そこに立つ腹をくくること。,場の空気をよみ、周囲の人の意見を聞く環境を作れたら、みんなを導くことができる。,多数決で皆が良いという方に意識を向け、総意をまとめ、先頭で美しく旗を振っている状態。,私なんてダメといじけて引っ込んでいるか、自分の役目を感じられず動けない状態。
8,美女と野獣のバラ,青,呪いが解けたら城にいる人全員助かる,前のめりになったらやる！,社会にシェアすることで世界を救う,こいつが動くと山が動く！一点に集めたエネルギーを一気に全員に噴射して変容させるカ,美女と野獣のストーリーで、魔法が解ける日のためにギューっと集中してじっと動かずに待つ呪いのバラ。この必殺技を持つ人が抱えた問題が解決の方向に動き出すと、一気に野獣は王子に変わり、周囲のあらゆる人たちの呪いも同時に解いてしまうような力がある。そこらじゅうからエネルギーを集めて、周囲全体に影響を与える必殺技。この必殺技があれば、ほかのすべての必殺技を増強させる力がある。,"とにかく動かず真実の愛に集中してパワーを貯めていく。動いた瞬間に一気に変わるぞ！
それまではかなりストレスだから体力がいるけど、パワフルに凝縮したエネルギーを、世界を変革するために使おう。",考え抜いて悩みぬくことで、ある瞬間に呪いが解けるように全てが好転する,呪いが解けるまではキツイ。真実の瞬間までは、何をやっても空回りかも。
9,光よりも速く走れ,黄,目を閉じて光速で走るスター,お願いされてからやる！,世界最強の俺が世界を救う,ただただ、自分のために楽しいことを全速力で実行することで、それを見た周りの人を元気づける人。,自分が楽しいと思うことを、自分のためにすること以外は意味がない！と心の底から思っている。楽しいと思うことを熱く語り、自分を見てほしい、注目を浴びたいと、いつも思っているけど、ちょっと注意されただけで、人格を否定されたように感じて、かなり凹んでしまう繊細な部分も。自分のことを「人と違ったすごいやつ」と思っていて、ほめられたいといつも思っているけど、実際は、たいしてすごくもないし、優められることもあまりない。でも、自分の素晴らしさを自分で借じて、すごく自分は高尚だと思い込んでいる状態のこの人を見て、沢山の人が目覚めていくから、スター。,人と同じことをする必要もないし、人目を気にする必要もなし！高尚な自分を信じて生きていれば、完璧なタイミングで自分も人も覚醒する！,「自分はいつも、とてつもなく高尚な世界にいる」とじていて、気が付けは地面から浮いている。,周りの人に埋もれて、目立たない状態を続けていると、いずれ病気になる。
10,俺好きの三乗,桃,俺を愛している俺が最高,前のめりになったらやる！,俺大好きパワーが世界を救う,自分を愛するという才能で、周りの人みんなを勇気づけて長所を引き出す。,"「俺が好き」に三乗かけたほど、自分が好きで仕方ない。例えば、恋人が携帯を見ていると「彼女が僕を見ていない」ということにムチャクチャ怒る。俺が好きな俺が好き！
お前を愛している俺が好き！という方程式だから、恋人を好きという気持ちがさめたら、どんなに愛されていてもあっさり別れる。
裏められて「当然でしょ？今頃気づいた？」的な反応するのは、この必殺技持ってる人。かなりおめでたい奴。はだかの王様。でも、それでオッケー！自分を愛する才能は、周りの人を勇気づけて長所を引き出すことにつながる。",誰が何と言おうと、それをやっている自分のことが好きであれば、選択は正しいと信じること！自分は素晴らしいと信じることで、依存的な人に学びを与え強さを引き出すことができます。,何をやっても俺が最高！自分が楽しければオールオッケー！,人からの評価を気にして嫌われないように動くと、結果を出せずキラキラしない。
