1→No,アイテム名,対No,対アイテム名,必殺No,必殺技名,色,動き方,説明,ON,OFF
1.0,タレント,8,演出家,1,天才クリエイター,赤,お願いされてからやる！,前に出るために生まれてきた人。わがままで目立ちたがりだけど舞台に立てば一流,自分が前に出て、かっこよく表現しているのがいい状態,引っ込んで誰かに何かをやらせようとしてイライラしている
2.0,スフィンクス,14,裏マネー,2,錬金術師,赤,前のめりになったらやる！,太陽の声を聴き、人の行く方向をどっしり見守る存在感,大きな存在感をもちなが風のように動き、人に影響を与えている,常識に捕らわれ、人に説教したり指示ばかりしてイライラしている
3.0,生みの苦しみ,60,マグマ,3,陰極まって陽になる,赤,前のめりになったらやる！,地球にいまだ存在しないものを形にして生み出す強大な力,不安定な痛みに耐えて何かを産み出す快感,痛みを感じないようにするほど気持ちに振り回される
4.0,答える人,63,疑う人,4,未来思考派,青,お願いされてからやる！,うまく説明はできないけど、先に答えが分かってしまう力,目の前の問題に対して考え抜いている状態が心地いい。公式な答えになるまで考え抜く,浅知恵で片付けようとして何も解決せずイライラする状態
5.0,専門家,15,ピンキリ,5,台風の目,青,前のめりになったらやる！,特定の専門分野の型やジンクスを持ち、それを変えてはいけない人,専門的なことに集中して行動し、うまくいっている状態,仕事を請け負わない状態、または、できないことを嘆いている状態
6.0,その気にさせる,59,誘惑,6,エロ,黄緑,前のめりになったらやる！,相手の感情を表に出させるアイテム。上品で美しく刺激的な外見で、惚れさせる、喜ばせる、怒らせる、泣かせる,スキンシップで感情のフタを開けるアイテム。愛や SEXに対して使命がある,恋人に捨てられてボロボ口になってたり、精神が破壊されている
7.0,先見の明,31,馬に乗った武将,7,ジャンヌダルク,青,お願いされてからやる！,生まれつきの才能で、先頭に立って人を導き稼ぐ能力,求められて、動いている人に横から口を出して導く役割をしている,無理やり自分がリーダーになろうとして、うまくいっていない状態
8.0,演出家,1,タレント,1,天才クリエイター,赤,お願いされてからやる！,人の輝く才能を見出して世に出す能力,他人の個性を見出して表現し、導くことで輝いている,伝えるのが面倒だからと言って自分が前に出ると失敗する
9.0,一点集中,52,ブッダ,8,美女と野獣のバラ,青,前のめりになったらやる！,じっと座って細かいことに集中し続けエネルギーを貯める力,一つのことに集中して心地よい状態,注意が散漫になって、いろんなことに気を取られてそわそわしている
10.0,自分好き,20,今この時の光,9,光よりも速く走れ,桃,お願いされてからやる！,自分のことが大好き。このことを受け入れて自分を愛することができたら脱皮する,何をする時にも自分が気持ちよく自分が大好きな状態ならオッケー,自分勝手はダメなことだと思って我慢してたら病気になる
10.0,自分好き,34,パワー全開,10,俺好きの三乗,桃,お願いされてからやる！,自分のことが大好き。このことを受け入れて自分を愛することができたら脱皮する,何をする時にも自分が気持ちよく自分が大好きな状態ならオッケー,自分勝手はダメなことだと思って我慢してたら病気になる
10.0,自分好き,57,観音（音）,11,ミケランジェロ,桃,お願いされてからやる！,自分のことが大好き。このことを受け入れて自分を愛することができたら脱皮する,何をする時にも自分が気持ちよく自分が大好きな状態ならオッケー,自分勝手はダメなことだと思って我慢してたら病気になる
11.0,ネタ出し,56,芸人,12,アイデアマン,水,お願いされてからやる！,たいして役に立たないオモロイアイデアがどんどん湧き出す,アイデアをどんどん話してプレストを盛り上げている,私のアイデアなんて役に立たないからと口に出さず我慢している
12.0,人目が気になる,22,気まま,13,マリーアントワネット,赤,宣言してからやる！,他人が自分のことをどう思っているか気にしていつも行動している,人の目を恐れる必要がなくなるまで完璧に準備し、堂々と行動している,人からの批判が気になり委縮して、なにも表現せず暗い状態
13.0,カウンセラー,33,秘密の鍵穴,14,家政婦は見た,水,お願いされてからやる！,生まれながらの聞き上手。天然のカウンセラー,人の悩みを上手に聞いて、その人の頭の中を整理するのを手伝っている,人の相談を面倒がり、受けないように逃げ回っている
14.0,裏マネー,2,スフィンクス,2,錬金術師,赤,前のめりになったらやる！,わくわく好きなことをしているだけでお金になるという能力,身体がワクワクする反応に従ってお金を引き寄せている,お金のために動くのは、本当にしたいことではない
15.0,ピンキリ,5,専門家,5,台風の目,青,前のめりになったらやる！,自分の変化の幅を理解し、その中で自由に動き回る力,ピンからキリまでいろんなことに手を付けて、元気に動いている,何かを極めようとしてストレスになっている状態
